item	frequency	suggested_level2	match_type	final_level2
설렁탕	23	Not Defined	not_defined	
된장밥	23	된장	guessed	
김치전	23	잎 채소|고추|마늘|소금|기타 소스	guessed	
갈비찜	23	소고기	guessed	
리조또	22	Not Defined	not_defined	
깐풍기	22	Not Defined	not_defined	
내장탕	22	내장류	guessed	
돼지국밥	21	Not Defined	not_defined	
짬뽕	20	Not Defined	not_defined	
유산슬	20	Not Defined	not_defined	
오리탕	20	Not Defined	not_defined	
감자튀김	19	뿌리 채소	guessed	
젓갈	19	Not Defined	not_defined	
육전	19	Not Defined	not_defined	
물회	19	Not Defined	not_defined	
마른과일	19	단 과일	guessed	
해장국	18	Not Defined	not_defined	
소고기 스테이크	17	소고기	guessed	
야채볶음	17	Not Defined	not_defined	
칼국수	17	Not Defined	not_defined	
곶감	17	Not Defined	not_defined	
회덮밥	17	Not Defined	not_defined	
딤섬	17	Not Defined	not_defined	
닭강정	17	Not Defined	not_defined	
돼지찌개	17	Not Defined	not_defined	
백반	17	Not Defined	not_defined	
주먹밥	16	Not Defined	not_defined	
소고기 무국	16	소고기	guessed	
떡국	16	Not Defined	not_defined	
비빔면	16	Not Defined	not_defined	
현미밥	16	쌀	guessed	
순두부찌개	16	콩류	guessed	
탕국	16	Not Defined	not_defined	
감자전	16	뿌리 채소	guessed	
누룽지탕	16	쌀	guessed	
삼계탕	16	Not Defined	not_defined	
반미	16	Not Defined	not_defined	
비빔막국수	15	Not Defined	not_defined	
떡갈비	15	소고기	guessed	
오무라이스	15	Not Defined	not_defined	
두루치기	15	Not Defined	not_defined	
소고기 샤브샤브	15	소고기	guessed	
돼지 두루치기	15	Not Defined	not_defined	
핫도그	14	Not Defined	not_defined	
팬케익	14	밀|설탕|기름	guessed	
콩죽	14	Not Defined	not_defined	
편육	14	Not Defined	not_defined	
기억 안남	14	Not Defined	not_defined	
동그랑땡	14	Not Defined	not_defined	
난자완스	14	Not Defined	not_defined	
솥밥	14	Not Defined	not_defined	
생선전	14	생선	guessed	
떡사리	14	Not Defined	not_defined	
너겟	14	Not Defined	not_defined	
비빔 막국수	14	Not Defined	not_defined	
쵸콜렛	14	Not Defined	not_defined	
돼지두루치기	14	Not Defined	not_defined	
청포묵	14	Not Defined	not_defined	
볶음면	13	Not Defined	not_defined	
물만두	13	밀|돼지고기|잎 채소	guessed	
짜장밥	13	Not Defined	not_defined	
먹태	13	Not Defined	not_defined	
나초	13	Not Defined	not_defined	
구운채소	13	기타 채소	guessed	
오랜지	13	Not Defined	not_defined	
쿠키	12	Not Defined	not_defined	
푸딩	12	Not Defined	not_defined	
하몽	12	Not Defined	not_defined	
국밥	12	Not Defined	not_defined	
콩나물국	12	잎 채소	guessed	
양꼬치	12	Not Defined	not_defined	
비빔국수	12	Not Defined	not_defined	
디저트	11	Not Defined	not_defined	
야채	11	Not Defined	not_defined	
파전	11	Not Defined	not_defined	
오삼불고기	11	기타 육류	guessed	
육회비빔밥	11	Not Defined	not_defined	
닭백숙	11	Not Defined	not_defined	
돼지불고기	10	기타 육류	guessed	
채소찜	10	기타 채소	guessed	
소고기 국밥	10	소고기	guessed	
팝콘	10	Not Defined	not_defined	
양갈비	10	소고기	guessed	
전병	10	Not Defined	not_defined	
쌈	10	Not Defined	not_defined	
꼬치	10	Not Defined	not_defined	
유산슬밥	10	Not Defined	not_defined	
닭구이	9	Not Defined	not_defined	
알밥	9	Not Defined	not_defined	
김치국	9	잎 채소|고추|마늘|소금|기타 소스	guessed	
닭곰탕	9	Not Defined	not_defined	
도너스	9	Not Defined	not_defined	
구근류	9	Not Defined	not_defined	
콩나물국밥	9	잎 채소	guessed	
마카롱	9	Not Defined	not_defined	
제사음식	9	Not Defined	not_defined	
통닭	8	Not Defined	not_defined	
사시미	8	Not Defined	not_defined	
김치찜	8	잎 채소|고추|마늘|소금|기타 소스	guessed	
치킨까스	8	Not Defined	not_defined	
모밀	8	Not Defined	not_defined	
나베	8	Not Defined	not_defined	
보리굴비	8	생선	guessed	
샤브샤브	8	Not Defined	not_defined	
들기름 막국수	8	기름	guessed	
똥집	8	Not Defined	not_defined	
짬뽕밥	8	Not Defined	not_defined	
고등어구이	8	생선	guessed	
연포탕	8	Not Defined	not_defined	
알탕	8	Not Defined	not_defined	
계란 스크램블	8	계란	guessed	
황태해장국	8	생선	guessed	
닭튀김	8	Not Defined	not_defined	
우삼겹	8	Not Defined	not_defined	
쑥떡	8	Not Defined	not_defined	
소고기 장조림	7	소고기	guessed	
미트볼	7	Not Defined	not_defined	
생선까스	7	생선	guessed	
대창	7	Not Defined	not_defined	
고추잡채	7	열매 채소	guessed	
햄 치즈 샌드위치	7	치즈	guessed	
찜닭	7	Not Defined	not_defined	
대게찜	7	갑각류	guessed	
프렌치 토스트	7	Not Defined	not_defined	
오겹살	7	Not Defined	not_defined	
새우튀김	7	갑각류	guessed	
고추장찌개	7	고추장	guessed	
닭국물	7	Not Defined	not_defined	
소머리국밥	7	Not Defined	not_defined	
마른안주	7	Not Defined	not_defined	
술국	7	Not Defined	not_defined	
파니니	7	Not Defined	not_defined	
짜글이	7	Not Defined	not_defined	
크림스프	7	야채 육수	guessed	
닭도리탕	7	Not Defined	not_defined	
토마토스프	7	열매 채소	guessed	
홍어무침	7	생선	guessed	
유부초밥	7	콩류	guessed	
오징어 튀김	6	연체류	guessed	
장조림	6	Not Defined	not_defined	
맛살	6	Not Defined	not_defined	
돼지 스테이크	6	Not Defined	not_defined	
타코	6	Not Defined	not_defined	
복국	6	Not Defined	not_defined	
티라미슈	6	Not Defined	not_defined	
치킨 가라아게	6	Not Defined	not_defined	
수제비	6	Not Defined	not_defined	
치킨버거	6	Not Defined	not_defined	
삼합	6	Not Defined	not_defined	
지리	6	Not Defined	not_defined	
뷔페 음식	6	Not Defined	not_defined	
오리구이	6	Not Defined	not_defined	
호두과자	6	견과류	guessed	
조개찜	6	조개류	guessed	
마들렌	6	Not Defined	not_defined	
홍시	6	Not Defined	not_defined	
LA갈비	6	소고기	guessed	
어향동고	6	Not Defined	not_defined	
낙지볶음	6	연체류	guessed	
짜조	6	Not Defined	not_defined	
육포	6	Not Defined	not_defined	
간장게장	6	간장	guessed	
토마토 스프	6	열매 채소	guessed	
마카로니	6	Not Defined	not_defined	
빙수	6	Not Defined	not_defined	
돼지 수육	6	돼지고기	guessed	
육사시미	6	Not Defined	not_defined	
브리또	6	Not Defined	not_defined	
곱창전골	6	내장류	guessed	
대구탕	6	생선	guessed	
붕어빵	6	Not Defined	not_defined	
호떡	6	Not Defined	not_defined	
부추전	6	잎 채소	guessed	
말린과일	6	단 과일	guessed	
참치캔	5	생선	guessed	
계란탕	5	계란	guessed	
난	5	Not Defined	not_defined	
머핀	5	Not Defined	not_defined	
마끼	5	Not Defined	not_defined	
홍탕	5	Not Defined	not_defined	
복튀김	5	Not Defined	not_defined	
냉채	5	Not Defined	not_defined	
뇨끼	5	Not Defined	not_defined	
돼지볶음	5	Not Defined	not_defined	
잔치국수	5	Not Defined	not_defined	
굴전	5	Not Defined	not_defined	
산낙지	5	연체류	guessed	
밥 조금	5	Not Defined	not_defined	
김말이	5	Not Defined	not_defined	
감자볶음	5	뿌리 채소	guessed	
밥 약간	5	Not Defined	not_defined	
깐풍새우	5	갑각류	guessed	
우거지 해장국	5	잎 채소	guessed	
캐비어	5	Not Defined	not_defined	
전복죽	5	조개류	guessed	
어복쟁반	5	Not Defined	not_defined	
와플	5	Not Defined	not_defined	
죽순찌개	5	줄기 채소	guessed	
나물비빔밥	5	잎 채소	guessed	
콩국수	5	Not Defined	not_defined	
녹두전	5	콩류	guessed	
모밀국수	5	Not Defined	not_defined	
아구찜	5	Not Defined	not_defined	
두부전골	5	콩류	guessed	
제육	5	Not Defined	not_defined	
나주곰탕	5	Not Defined	not_defined	
우거지해장국	5	잎 채소	guessed	
삼각김밥	5	Not Defined	not_defined	
과메기	5	Not Defined	not_defined	
세꼬시	5	Not Defined	not_defined	
만두국	5	밀|돼지고기|잎 채소	guessed	
오징어볶음	5	연체류	guessed	
롤케익	5	밀|설탕|기름	guessed	
소고기 양지탕	5	소고기	guessed	
등심	5	Not Defined	not_defined	
명란젓	5	기타해산물	guessed	
한정식	5	Not Defined	not_defined	
치즈볼	5	치즈	guessed	
꽈배기	5	Not Defined	not_defined	
밀면	5	Not Defined	not_defined	
참치회	5	생선	guessed	
에너지바	5	Not Defined	not_defined	
순대볶음	5	가공육|전분	guessed	
사골국물	5	Not Defined	not_defined	
곰국	5	Not Defined	not_defined	
도너츠	5	Not Defined	not_defined	
삽겹살	5	Not Defined	not_defined	
구운야채	5	Not Defined	not_defined	
연어 샐러드	4	생선	guessed	
캔참치	4	생선	guessed	
버거	4	Not Defined	not_defined	
월남쌈	4	Not Defined	not_defined	
케밥	4	Not Defined	not_defined	
팟타이	4	Not Defined	not_defined	
라면국물	4	밀	guessed	
치킨윙	4	Not Defined	not_defined	
쌀라미	4	Not Defined	not_defined	
육회 비빔밥	4	Not Defined	not_defined	
우동사리	4	Not Defined	not_defined	
스프링롤	4	야채 육수	guessed	
카스테라	4	Not Defined	not_defined	
무국	4	Not Defined	not_defined	
닭가슴살 샐러드	4	Not Defined	not_defined	
쌀국수 국물	4	Not Defined	not_defined	
찌개	4	Not Defined	not_defined	
새우 샐러드	4	갑각류	guessed	
버섯전골	4	버섯	guessed	
소고기 전골	4	소고기	guessed	
우동국물	4	Not Defined	not_defined	
베이글	4	Not Defined	not_defined	
마파두부	4	콩류	guessed	
우유	4	Not Defined	not_defined	
새우샐러드	4	갑각류	guessed	
프렌치토스트	4	Not Defined	not_defined	
전복구이	4	조개류	guessed	
가지볶음	4	열매 채소	guessed	
팥빙수	4	Not Defined	not_defined	
호박전	4	열매 채소	guessed	
돼지불백	4	Not Defined	not_defined	
소고기국밥	4	소고기	guessed	
수육국밥	4	돼지고기	guessed	
어향가지	4	열매 채소	guessed	
라조기	4	생선	guessed	
조개탕	4	조개류	guessed	
닭날개	4	Not Defined	not_defined	
나물 비빔밥	4	잎 채소	guessed	
숙주볶음	4	잎 채소	guessed	
갈치구이	4	생선	guessed	
오징어국	4	연체류	guessed	
안동국시	4	Not Defined	not_defined	
고추튀김	4	열매 채소	guessed	
덮밥	4	Not Defined	not_defined	
만두전골	4	밀|돼지고기|잎 채소	guessed	
뻐해장국	4	Not Defined	not_defined	
양파스프	4	야채 육수	guessed	
대패 삼겹살	4	돼지고기	guessed	
돼지찜	4	Not Defined	not_defined	
핫바	4	Not Defined	not_defined	
샤베트	4	Not Defined	not_defined	
대구지리	4	생선	guessed	
초콜렛	4	Not Defined	not_defined	
소고기 미역국	4	소고기	guessed	
오징어튀김	4	연체류	guessed	
치즈스틱	4	치즈	guessed	
라자냐	4	Not Defined	not_defined	
황태국	4	생선	guessed	
복무침	4	Not Defined	not_defined	
두유	4	Not Defined	not_defined	
대구뽈찜	4	생선	guessed	
갈치조림	4	생선	guessed	
오리불고기	4	기타 육류	guessed	
완자전	4	Not Defined	not_defined	
해물찜	4	Not Defined	not_defined	
치즈불닭	4	치즈	guessed	
꼬리곰탕	3	Not Defined	not_defined	
돼지고기 스테이크	3	돼지고기	guessed	
시저샐러드	3	Not Defined	not_defined	
소고기 된장국	3	소고기	guessed	
비빔 냉면	3	Not Defined	not_defined	
수란	3	Not Defined	not_defined	
야채튀김	3	Not Defined	not_defined	
배추전	3	잎 채소	guessed	
비스킷	3	Not Defined	not_defined	
고등어 구이	3	생선	guessed	
오징어 볶음	3	연체류	guessed	
돼지고기 김치찜	3	돼지고기	guessed	
라멘	3	Not Defined	not_defined	
브로컬리	3	Not Defined	not_defined	
쨈	3	Not Defined	not_defined	
복지리	3	Not Defined	not_defined	
오리백숙	3	Not Defined	not_defined	
똠양꿍	3	Not Defined	not_defined	
시리얼	3	Not Defined	not_defined	
돼지김치찜	3	잎 채소|고추|마늘|소금|기타 소스	guessed	
사리	3	Not Defined	not_defined	
타코야끼	3	Not Defined	not_defined	
교자	3	Not Defined	not_defined	
호빵	3	Not Defined	not_defined	
떡라면	3	밀	guessed	
오리로스	3	Not Defined	not_defined	
면사리	3	Not Defined	not_defined	
파타야	3	Not Defined	not_defined	
팬케이크	3	Not Defined	not_defined	
메론	3	Not Defined	not_defined	
찹쌀떡	3	쌀	guessed	
차돌박이	3	Not Defined	not_defined	
그라탕	3	Not Defined	not_defined	
랍스터찜	3	갑각류	guessed	
사골국	3	Not Defined	not_defined	
닭다리	3	Not Defined	not_defined	
고구마 튀김	3	뿌리 채소	guessed	
딸기 빙수	3	베리류	guessed	
퀘사디아	3	Not Defined	not_defined	
마라탕	3	Not Defined	not_defined	
닭볶음	3	Not Defined	not_defined	
젤라또	3	Not Defined	not_defined	
굴국밥	3	Not Defined	not_defined	
오향장육	3	기타 소스	guessed	
고기국수	3	기타 육류	guessed	
고로케	3	Not Defined	not_defined	
방울토마토	3	열매 채소	guessed	
낙지전골	3	연체류	guessed	
감자국	3	뿌리 채소	guessed	
선지국	3	내장류	guessed	
반반불고기	3	기타 육류	guessed	
북어해장국	3	생선	guessed	
메밀소바	3	메밀	guessed	
장떡	3	Not Defined	not_defined	
복육회	3	Not Defined	not_defined	
챱스테이크	3	Not Defined	not_defined	
황도	3	Not Defined	not_defined	
생대구지리	3	생선	guessed	
항정살	3	Not Defined	not_defined	
순두부 찌개	3	콩류	guessed	
립	3	Not Defined	not_defined	
짬뽕탕	3	Not Defined	not_defined	
젤리	3	Not Defined	not_defined	
피칸파이	3	견과류	guessed	
주물럭	3	Not Defined	not_defined	
방어회	3	생선	guessed	
오뎅국	3	Not Defined	not_defined	
해물	3	Not Defined	not_defined	
건빵	3	Not Defined	not_defined	
돼지 김치찌개	3	잎 채소|고추|마늘|소금|기타 소스	guessed	
호박잎쌈	3	잎 채소	guessed	
선지해장국	3	내장류	guessed	
마늘빵	3	마늘	guessed	
코다리찜	3	생선	guessed	
판모밀	3	Not Defined	not_defined	
소갈비살	3	소고기	guessed	
오리	3	Not Defined	not_defined	
굴무침	3	Not Defined	not_defined	
차돌짬뽕국물	3	Not Defined	not_defined	
메밀전병	3	메밀	guessed	
닭찜	3	Not Defined	not_defined	
컵케익	3	밀|설탕|기름	guessed	
닭똥집	3	Not Defined	not_defined	
오징어무침	3	연체류	guessed	
돼지김치찌개	3	잎 채소|고추|마늘|소금|기타 소스	guessed	
구운 채소	3	기타 채소	guessed	
돼지 불고기	3	기타 육류	guessed	
소불고기	3	기타 육류	guessed	
메밀국수	3	메밀	guessed	
계란 토스트	3	계란	guessed	
꽈베기	3	Not Defined	not_defined	
양념통닭	3	기타 소스	guessed	
삶은계란	3	계란	guessed	
막국수 - 비빔	3	Not Defined	not_defined	
크로아상	2	Not Defined	not_defined	
돼지고기 카레	2	돼지고기	guessed	
돼지고기 된장국	2	돼지고기	guessed	
햄버거 패티	2	Not Defined	not_defined	
짜파구리	2	Not Defined	not_defined	
과일 샐러드	2	단 과일	guessed	
스테이크 샌드위치	2	Not Defined	not_defined	
연어 스테이크	2	생선	guessed	
배추 된장국	2	된장	guessed	
청경채 볶음	2	잎 채소	guessed	
생선 구이	2	생선	guessed	
고구마 맛탕	2	뿌리 채소	guessed	
태국 음식	2	Not Defined	not_defined	
야채스프	2	야채 육수	guessed	
돼지 앞다리살 볶음밥	2	Not Defined	not_defined	
문어 구이	2	연체류	guessed	
오댕	2	Not Defined	not_defined	
노루고기	2	기타 육류	guessed	
타다끼	2	Not Defined	not_defined	
홍어삼합	2	생선	guessed	
노가리	2	Not Defined	not_defined	
보리밥	2	보리쌀	guessed	
북경오리	2	Not Defined	not_defined	
매생이 해장국	2	해조류	guessed	
햄 샌드위치	2	Not Defined	not_defined	
스낵	2	Not Defined	not_defined	
묵사발	2	Not Defined	not_defined	
동태탕	2	생선	guessed	
보쌈정식	2	Not Defined	not_defined	
버섯 스프	2	버섯	guessed	
퓨레	2	Not Defined	not_defined	
방울 토마토	2	열매 채소	guessed	
키토김밥	2	Not Defined	not_defined	
소고기 볶음	2	소고기	guessed	
꿔바로우	2	Not Defined	not_defined	
새우전	2	갑각류	guessed	
모닝글로리	2	Not Defined	not_defined	
우육탕	2	Not Defined	not_defined	
김치말이국수	2	잎 채소|고추|마늘|소금|기타 소스	guessed	
울면	2	Not Defined	not_defined	
치킨샐러드	2	Not Defined	not_defined	
양다리	2	Not Defined	not_defined	
김초밥	2	Not Defined	not_defined	
새우꼬치	2	갑각류	guessed	
꼬마김밥	2	Not Defined	not_defined	
오징어회	2	연체류	guessed	
브라우니	2	Not Defined	not_defined	
물김치	2	잎 채소|고추|마늘|소금|기타 소스	guessed	
돼지사태찜	2	Not Defined	not_defined	
장어구이	2	생선	guessed	
수육전골	2	돼지고기	guessed	
비빔밥 나물	2	잎 채소	guessed	
떡만두국	2	밀|돼지고기|잎 채소	guessed	
칠리새우	2	갑각류	guessed	
바싹불고기	2	기타 육류	guessed	
온면	2	Not Defined	not_defined	
소양념갈비	2	소고기	guessed	
충무김밥	2	Not Defined	not_defined	
차돌숙주볶음	2	잎 채소	guessed	
문어 샐러드	2	연체류	guessed	
당면사리	2	전분	guessed	
동파육	2	Not Defined	not_defined	
새우탕 칼국수	2	갑각류	guessed	
초코파이	2	Not Defined	not_defined	
조각케익	2	밀|설탕|기름	guessed	
치킨 샐러드	2	Not Defined	not_defined	
국물	2	Not Defined	not_defined	
잡채밥	2	Not Defined	not_defined	
연어 샌드위치	2	생선	guessed	
약밥	2	Not Defined	not_defined	
새우버거	2	갑각류	guessed	
굴보쌈	2	Not Defined	not_defined	
비빔밀면	2	Not Defined	not_defined	
호박튀김	2	열매 채소	guessed	
맑은 감자탕	2	뿌리 채소	guessed	
스톨렌	2	Not Defined	not_defined	
삶은 오징어	2	연체류	guessed	
참치 샐러드	2	생선	guessed	
소고기 타코	2	소고기	guessed	
문어튀김	2	연체류	guessed	
전골	2	Not Defined	not_defined	
해신탕	2	Not Defined	not_defined	
제육불고기	2	기타 육류	guessed	
치킨가라아게	2	Not Defined	not_defined	
전가복	2	Not Defined	not_defined	
토마토계란볶음	2	열매 채소	guessed	
라자니아	2	Not Defined	not_defined	
막창	2	Not Defined	not_defined	
파스타 샐러드	2	밀	guessed	
순대곱창전골	2	내장류	guessed	
믈냉면	2	Not Defined	not_defined	
짜장범벅	2	Not Defined	not_defined	
카레라이스	2	카레	guessed	
닭전골	2	Not Defined	not_defined	
양념갈비살	2	소고기	guessed	
깻잎전	2	잎 채소	guessed	
츄러스	2	Not Defined	not_defined	
양념갈비	2	소고기	guessed	
치즈버거	2	치즈	guessed	
묵밥	2	Not Defined	not_defined	
양파링	2	뿌리 채소	guessed	
초계국수	2	Not Defined	not_defined	
물밀면	2	Not Defined	not_defined	
홍어전	2	생선	guessed	
소고기 국밥(국만)	2	소고기	guessed	
차돌	2	Not Defined	not_defined	
홍어찜	2	생선	guessed	
아우국	2	Not Defined	not_defined	
화과자	2	Not Defined	not_defined	
게살볶음	2	갑각류	guessed	
돌솥비빔밥	2	Not Defined	not_defined	
곱창순두부	2	콩류	guessed	
쫄면사리	2	밀	guessed	
한방 우보탕	2	Not Defined	not_defined	
시금치 튀김	2	잎 채소	guessed	
매운 라면	2	밀	guessed	
사탕	2	Not Defined	not_defined	
완탕스프	2	야채 육수	guessed	
새우깡	2	갑각류	guessed	
분짜	2	Not Defined	not_defined	
소바	2	Not Defined	not_defined	
고추장 삼겹살	2	고추장	guessed	
소고기국	2	소고기	guessed	
삼선우동 국물	2	Not Defined	not_defined	
호박죽	2	열매 채소	guessed	
옛날도시락	2	Not Defined	not_defined	
회무침	2	Not Defined	not_defined	
조기구이	2	생선	guessed	
치즈튀김	2	치즈	guessed	
둥지냉면	2	Not Defined	not_defined	
제사 음식	2	Not Defined	not_defined	
망고빙수	2	단 과일	guessed	
오징어포 무침	2	연체류	guessed	
소고기무국	2	소고기	guessed	
곤드레밥	2	잎 채소	guessed	
계란 샐러드	2	계란	guessed	
도가니	2	Not Defined	not_defined	
모닝빵	2	Not Defined	not_defined	
참치김치찌개	2	잎 채소|고추|마늘|소금|기타 소스	guessed	
쟁반짜장	2	Not Defined	not_defined	
순대국밥	2	가공육|전분	guessed	
토마토 파스타	2	열매 채소	guessed	
소고기 죽순 찌개	2	소고기	guessed	
홍어 무침	2	생선	guessed	
연어회	2	생선	guessed	
곰탕	2	Not Defined	not_defined	
쑥국	2	Not Defined	not_defined	
홍합탕	2	조개류	guessed	
볶음우동	2	Not Defined	not_defined	
양지곰탕	2	소고기	guessed	
꽃게찜	2	갑각류	guessed	
굴라시	2	Not Defined	not_defined	
잡탕밥	2	Not Defined	not_defined	
버섯 샐러드	2	버섯	guessed	
케사디아	2	Not Defined	not_defined	
카라멜	2	Not Defined	not_defined	
대구찜	2	생선	guessed	
조기조림	2	생선	guessed	
감말랭이	2	Not Defined	not_defined	
냉소바	2	Not Defined	not_defined	
묵	2	Not Defined	not_defined	
치킨너겟	2	Not Defined	not_defined	
소고기샤브샤브	2	소고기	guessed	
단호박 스프	2	열매 채소	guessed	
쌀밥	2	Not Defined	not_defined	
호박스프	2	야채 육수	guessed	
쭈꾸미볶음	2	연체류	guessed	
돼지 목살	2	Not Defined	not_defined	
애프터눈 티	2	Not Defined	not_defined	
오징어 무국	2	연체류	guessed	
버섯찌개	2	버섯	guessed	
말린 과일	2	단 과일	guessed	
유과	2	Not Defined	not_defined	
안동찜닭	2	Not Defined	not_defined	
어묵탕	2	생선|밀	guessed	
마른 과일	2	단 과일	guessed	
도넛	2	Not Defined	not_defined	
돈사태찜	2	Not Defined	not_defined	
양념치킨	2	기타 소스	guessed	
황태구이	2	생선	guessed	
깁밥	2	Not Defined	not_defined	
치즈돈까스	2	치즈	guessed	
딸기 타르트	2	베리류	guessed	
샌드위치 속	2	Not Defined	not_defined	
뼈해장국	2	Not Defined	not_defined	
죽순 소고기 된장찌개	2	소고기	guessed	
반반 불고기	2	기타 육류	guessed	
얼큰이양곰탕	2	Not Defined	not_defined	
등갈비찜	2	소고기	guessed	
마시멜로우	2	설탕	guessed	
토마토소스 파스타	2	기타 소스	guessed	
이탈리안 코스	2	Not Defined	not_defined	
차돌짬뽕 국물	2	Not Defined	not_defined	
양념돼지갈비	2	돼지고기	guessed	
이탈리안	2	Not Defined	not_defined	
장례식장 밥	2	Not Defined	not_defined	
Pork Chop	2	Not Defined	not_defined	
올리브오일 파스타	1	열매 채소	guessed	
햄 치즈 야채 샌드위치	1	치즈	guessed	
고추장 소스	1	고추장	guessed	
생선 스테이크	1	생선	guessed	
Galette	1	Not Defined	not_defined	
Crepe	1	Not Defined	not_defined	
씨저 샐러드	1	Not Defined	not_defined	
양고기 스테이크	1	양고기	guessed	
비트 리조또	1	뿌리 채소	guessed	
홍합찜	1	조개류	guessed	
대구 구이	1	생선	guessed	
굴 겉저리 김치	1	잎 채소|고추|마늘|소금|기타 소스	guessed	
대구 튀김	1	생선	guessed	
캐밥	1	Not Defined	not_defined	
계란 아보카도 스팸 볶음밥	1	열매 채소	guessed	
옥수수 구이	1	옥수수	guessed	
파김치	1	잎 채소|고추|마늘|소금|기타 소스	guessed	
김치볶음밥	1	잎 채소|고추|마늘|소금|기타 소스	guessed	
참치캔 계란국	1	계란	guessed	
오리다리 구이	1	Not Defined	not_defined	
참치 비빔밥	1	생선	guessed	
김치 볶음밥	1	잎 채소|고추|마늘|소금|기타 소스	guessed	
으깬 감자	1	뿌리 채소	guessed	
해물 샤브샤브	1	Not Defined	not_defined	
치킨 케밥	1	Not Defined	not_defined	
샥슈카	1	Not Defined	not_defined	
양고기 케밥	1	양고기	guessed	
해산물 스튜	1	기타해산물	guessed	
소고기 햄버거 패티	1	소고기	guessed	
BBQ Lib	1	Not Defined	not_defined	
소고기 볶음장	1	소고기	guessed	
고등어 샐러드	1	생선	guessed	
새우 리조또	1	갑각류	guessed	
빵 스테이크	1	Not Defined	not_defined	
양파 튀김	1	뿌리 채소	guessed	
문어 무침	1	연체류	guessed	
새우 고로케	1	갑각류	guessed	
해바라기 씨	1	Not Defined	not_defined	
그라놀라	1	Not Defined	not_defined	
해물밥	1	Not Defined	not_defined	
무화과 말림	1	단 과일	guessed	
야채면	1	Not Defined	not_defined	
벤또	1	Not Defined	not_defined	
버섯 리조또	1	버섯	guessed	
쵸코 딸기	1	베리류	guessed	
메밀 곤약면	1	기타	guessed	
팽이버섯 전	1	버섯	guessed	
간장 새우	1	간장	guessed	
간장 비빔밥	1	간장	guessed	
달래장	1	마늘	guessed	
콩 카레	1	카레	guessed	
양 케밥	1	Not Defined	not_defined	
아구 카레	1	카레	guessed	
똠양 누들	1	Not Defined	not_defined	
새우죽	1	갑각류	guessed	
초고추장	1	고추장	guessed	
크림소스 파스타	1	기타 소스|기타 유제품	guessed	
훈제 연어 초밥	1	생선	guessed	
계란국	1	계란	guessed	
돼지 볶음	1	Not Defined	not_defined	
돈부리	1	Not Defined	not_defined	
롤	1	Not Defined	not_defined	
소고기 파이	1	소고기	guessed	
돼지 간장 볶음	1	간장	guessed	
그릭 요거트	1	요거트	guessed	
